Date,Clicks,Impressions,CTR,Position
2026-08-08,0,0,,
2026-08-09,5,9,55.56%,1
2026-08-10,18,51,35.29%,7.6
2026-08-11,19,39,48.72%,10.1
2026-08-12,16,40,40%,6.5
2026-08-13,24,43,55.81%,5.7
2026-08-14,19,31,61.29%,4.3
2026-08-15,12,41,29.27%,3.7
2026-08-16,9,58,15.52%,18.9
2026-08-17,6,52,11.54%,11.8
2026-08-18,9,52,17.31%,10.5
2026-08-19,8,106,7.55%,5.9
2026-08-20,13,32,40.62%,15.1
2026-08-21,8,35,22.86%,11.8
2026-08-22,14,50,28%,7.2
2026-08-23,6,34,17.65%,10.6
2026-08-24,5,66,7.58%,26.1
2026-08-25,14,73,19.18%,5
2026-08-26,11,51,21.57%,4.7
2026-08-27,5,51,9.8%,28.5
2026-08-28,4,54,7.41%,19.2
2026-08-29,9,61,14.75%,14.8
2026-08-30,18,67,26.87%,14.9
2026-08-31,14,76,18.42%,16.2
2026-09-01,9,49,18.37%,17.2
2026-09-02,10,53,18.87%,18.3
2026-09-03,8,40,20%,17.6
2026-09-04,16,60,26.67%,10.9
